repo_name,watch,fork,star
ventoviro/windwalker,21,33,219
apache/commons-configuration,40,98,101
avifatal/framework,1,0,0
dnjohnstone/hyperspy,1,0,0
yiisoft/yii2-framework,47,135,216
fake-name/ReadableWebProxy,6,11,164
signumsoftware/framework,36,65,137
kassens/relay,1,0,0
eveCSS/eveCSS,2,0,0
jzonthemtn/opennlp,1,0,0
apache/opennlp,93,357,914
SciTools/iris,49,193,357
chapmanb/bioconda-recipes,1,1,0
status-im/status-react,180,736,2878
zrzka/blackmamba,9,8,64
takuya-takeuchi/DlibDotNet,27,74,244
nutzam/nutz,283,953,2243
ericpre/hyperspy,1,0,1
Luobiny/bioconda-recipes,1,0,0
wikimedia/pywikibot,47,157,341
devgateway/ccrs-saiku,8,0,2
VerizonDigital/waflz,16,19,39
hyperspy/hyperspy,30,130,226
daid/EmptyEpsilon,53,102,285
peppy/osu-framework,3,0,9
T12z/TCNopen,3,4,8
wso2/carbon-commons,284,205,13
JaewookByun/epcis,11,32,25
ImageMarkup/isic-archive,10,9,39
WikiWatershed/model-my-watershed,19,24,28
documize/community,41,111,1036
opendaylight/opflex,8,16,13
duderoot/generator-jhipster,1,0,0
ppy/osu-framework,43,224,507
sutter-dave/ApogeeJS,1,0,3
aylward/ITKTubeTK,1,0,1
ctamisier/generator-jhipster,1,0,0
mesosphere/dcos-commons,112,176,158
atomjump/loop-server,1,2,2
hunzhiwange/framework,3,3,42
mixxorz/wagtail,1,0,0
BirkbeckCTP/janeway,12,30,90
zerolab/wagtail,1,0,0
kivy/kivy,581,2373,10849
carbonsunsu/CarbonRender,2,5,6
ThisDrunkDane/Odin,0,0,2
gpg/gpgme,5,13,40
endlessm/gnome-shell,22,6,6
Omega9/Omega9.github.io,1,0,0
bdaroz/the-blue-alliance,1,0,0
sdaza/sdaza.github.com,1,0,0
filippomasoni/lascarpa,1,0,0
clementine-player/Clementine,155,513,2456
artsy/reaction,36,70,333
akaunting/akaunting,171,1024,2750
FriendsOfPHP/PHP-CS-Fixer,219,1114,8757
justcarakas/forkcms,1,1,0
GrahamCampbell/PHP-CS-Fixer,0,0,0
4treesCH/strolch,4,6,3
timorieber/wagtail,1,0,0
open-qhm/qhm,7,9,7
mwest1066/PrairieLearn,1,1,0
artsy/eigen,119,402,2617
yawlfoundation/editor,2,1,3
rncbc/qtractor,29,41,240
Themaister/Granite,40,35,497
DANCEcollaborative/bazaar,7,8,11
jose-braga/data-management,0,0,0
Vacuum-IM/vacuum-im,18,20,75
CZ-NIC/knot,25,26,121
514840279/danyuan-application,6,24,44
google/graphicsfuzz,24,64,380
AMPATH/ng2-amrs,15,85,9
worldforge/ember,21,45,97
babel/babel,884,4176,36147
wagtail/wagtail,346,1874,8557
potassco/clingo,28,48,235
pascalgrimaud/generator-jhipster,1,0,0
atomfrede/generator-jhipster,1,0,0
facebook/relay,399,1429,14237
unvell/ReoGrid,54,148,394
EDDiscovery/EDDiscovery,57,118,388
atxwebs/relay,0,0,0
jedwards1211/breakout,4,0,5
pycroscopy/pycroscopy,23,37,104
washingtondc-emu/washingtondc,12,7,155
dotnetprojects/DotNetSiemensPLCToolBoxLibrary,59,128,197
fluentmigrator/fluentmigrator,125,561,2144
ampproject/amp-wp,215,352,1537
superdesk/web-publisher,15,40,67
BelledonneCommunications/mediastreamer2,22,80,74
xalt/xalt,3,7,21
MarimerLLC/csla,128,305,726
localheinz/PHP-CS-Fixer,0,0,0
Slamdunk/PHP-CS-Fixer,1,0,0
xpavlic4/book-extracts,1,0,1
mraible/generator-jhipster,1,0,0
justinethier/cyclone,23,23,411
nagios-plugins/nagios-plugins,63,228,238
CybOXProject/python-cybox,41,38,67
MeteoSwiss-APN/dawn,8,17,11
WNPRC-EHR-Services/wnprc-modules,9,2,0
baites/baites.github.io,1,0,0
zenden2k/image-uploader,11,25,84
tsiegleauq/OpenSlides,1,0,0
FinnStutzenstein/OpenSlides,1,0,0
OpenSlides/OpenSlides,20,76,258
ilyhacker/aspnetboilerplate,1,0,0
alexeblee/s2n,1,0,0
pentaho/big-data-plugin,100,274,173
aramsoft/aramcomp,1,5,5
weiss/ejabberd,5,0,5
PrairieLearn/PrairieLearn,11,109,96
processone/ejabberd,284,1327,4456
the-blue-alliance/the-blue-alliance,40,148,269
Saleslogix/argos-saleslogix,27,20,35
apache/commons-collections,75,281,406
GraphWalker/graphwalker-project,21,62,151
KristianKarl/graphwalker-project,0,0,0
stefanocasazza/FrameworkBenchmarks,0,0,0
jhconning/Dev-II,7,15,20
hekate-io/hekate,3,3,16
mstorchak/packages,1,0,0
stcarrez/ada-awa,12,8,46
SVG-Edit/svgedit,211,928,3506
codylerum/FrameworkBenchmarks,1,2,0
webcamoid/webcamoid,40,90,655
gitblit/gitblit,164,598,1727
hyee/dbcli,8,11,21
fzs/gitblit,2,0,0
splunk/splunk-sdk-javascript,51,79,156
vivekmore/generator-jhipster,1,0,0
ruddell/generator-jhipster,1,0,0
wmarques/generator-jhipster,1,0,0
mosoft521/generator-jhipster,1,0,0
cbornet/generator-jhipster,1,0,0
jhipster/generator-jhipster,813,3220,15852
tuomount/Open-Realms-of-Stars,9,14,40
optimad/bitpit,13,19,58
lionfire/Core,1,0,0
MozillaSecurity/FuzzManager,24,44,127
thess/OpenWrt-packages,1,0,0
etcd-io/etcd,1339,6283,30249
aspose-words/Aspose.Words-for-Java,45,130,173
MehdyKarimpour/extensions,2,0,0
signumsoftware/extensions,19,28,28
comptoirdesappli/amapress,8,3,10
google/flatbuffers,648,2208,14043
groue/GRDB.swift,67,257,2744
google/chicago-brick,19,28,122
torakiki/sambox,3,13,28
deregenboog/ecd,3,1,1
GluuFederation/oxTrust,23,41,75
GoogleCloudPlatform/java-docs-samples,112,2105,1027
TechEmpower/FrameworkBenchmarks,225,1398,4956
smbc-digital/iag-webapp,18,0,4
filinov/icms2,1,0,1
visallo/vertexium,14,32,49
GNOME/nautilus,22,98,203
fooplugins/foogallery,12,38,105
norBIT/alkisimport,7,9,7
SonarOpenCommunity/sonar-cxx,82,245,546
nunit/nunit,136,607,1826
MikeCroall/p5-playground,1,0,1
gearmobile/gearmobile.github.io,3,0,2
rserwin1/woof-CE,0,0,0
cambridgehackers/connectal,25,31,104
chipster/chipster-web,9,0,1
modsim/CADET,12,8,13
tejasbubane/rubocop,1,0,0
Talend/ui,46,25,96
SpacePossum/PHP-CS-Fixer,2,0,0
steedos/workflow,15,32,79
sodash/open-code,4,2,1
lizardfs/lizardfs,106,157,730
CompEvol/beast2,33,57,135
rrosenblum/rubocop,1,0,0
overview/overview-server,22,35,250
libretro/libretro-prboom,9,30,38
jobovy/galpy,20,64,109
github/VisualStudio,205,992,1797
aufau/SaberMod,4,3,6
puppylinux-woof-CE/woof-CE,35,95,175
fmidev/smartmet-library-newbase,12,1,0
kwikius/quan-trunk,0,4,1
wso2/carbon-governance,130,108,5
openstack/tempest,68,461,331
apache/maven,200,1623,2060
kubeflow/pipelines,87,488,1466
robotichead/NearBeach,3,1,13
glyptodon/guacamole-client,77,289,998
yannayl/packages,1,0,0
blaquee/x64dbg,1,0,0
x64dbg/x64dbg,3114,1269,34897
InsightLab/data-science-cookbook,20,74,49
walbourn/directxtkmodelviewer,4,9,22
shabiel/Kernel-GTM,3,2,2
XadrezSuico/XadrezSuico,1,0,0
DFEAGILEDEVOPS/MTC,11,8,8
habitat-sh/habitat,80,315,2173
HubSpot/Singularity,54,176,774
jow-/packages,2,0,0
hs-jenkins-bot/Singularity,0,0,0
jcampbellsjci/jcampbellsjci.github.io,1,0,0
astitcher/qpid-proton,1,0,1
apache/qpid-proton,42,163,147
kgiusti/qpid-proton,1,0,0
nmeyerhans/packages,1,0,0
ssorj/qpid-proton,1,0,1
kbss-cvut/jopa,12,4,20
sartura/openwrt-packages,12,0,0
ejurgensen/packages,2,0,0
ENCODE-DCC/encoded,28,41,79
ProtonMail/WebClient,157,361,2525
zeroincombenze/tools,2,1,1
Karmabunny/sprout3,10,2,14
val-kulkov/openwrt-packages,1,0,0
autc04/executor,6,4,32
AzuraCast/AzuraCast,71,238,830
TheTransitClock/transitime,12,13,37
tango-controls/JTango,7,10,7
bikeindex/bike_index,13,53,181
