repo_name,watch,fork,star
yidongnan/grpc-spring-boot-starter,97,399,1311
ramezquitao/pyoptools,0,0,0
EdwardBetts/osm-wikidata,12,11,49
instedd/planwise,8,3,16
DoFabien/OsmGo,6,5,27
mate-desktop/mate-power-manager,15,43,38
femmehacks/femmehacks.github.io,3,3,0
weaondara/BungeePerms,11,41,31
kunal-pmj/vsphere-automation-sdk-java,0,0,0
Barracuda09/SATPI,24,17,80
google/OpenSK,77,110,1602
flavoi/diventi,1,0,1
HAOzj/Classic-ML-Methods-Algo,1,7,32
olsonanl/bootstrap,1,1,0
thephpleague/commonmark,34,115,1397
aaron-reeves/ar_general_purpose,1,0,0
jshun/ligra,31,92,262
lukas/ml-class,62,812,1466
weopendata/medea,1,0,0
Netflix/EVCache,428,185,1340
mbordas/qualify,3,1,1
ministryofjustice/cla_frontend,40,2,1
JosueSantos/josuesantos.github.io,1,0,0
freezy/dmd-extensions,10,26,31
wilsonmar/git-utilities,4,129,78
jsxc/jsxc,71,210,507
silverbackstudio/_svbk,2,0,0
google/binexport,45,119,441
cblichmann/binexport,4,1,12
csvconf/csvconf.com,12,33,57
spinnaker/front50,80,476,44
android/views-widgets-samples,66,524,1226
TrackerSB/Green2,1,0,0
baukh789/GridManager,24,68,366
clamburger/vidya-gaem-awards,4,3,3
onyxbits/raccoon4,25,58,273
csdahlberg/CodeTiger.CodeAnalysis,1,1,1
OCA/stock-logistics-workflow,85,316,87
GNOME/meld,37,174,581
qcode-software/qcode-tcl,3,1,6
Aquerr/EagleFactions,7,10,25
Esri/arcgis-runtime-demos-dotnet,35,84,40
BrainJS/brain.js,278,846,10850
dsp-jetpack/JetPack,20,46,21
pythonindia/junction,25,146,142
bobwallis/Blueline,3,1,10
wpquads/quick-adsense-reloaded,4,9,7
googlemaps/android-maps-utils,197,1393,3014
notwaldorf/notwaldorf.github.com,3,14,22
alphagov/collections,32,3,1
ralish/dotfiles,3,4,38
cea-hpc/modules,30,51,234
craws/OpenAtlas,5,6,16
russellhancox/santa,3,1,4
hdecarne/certmgr,4,3,17
FNNDSC/ChRIS_ultron_backEnd,10,19,11
wonderpush/wonderpush-ios-sdk,11,7,2
wikimedia/mediawiki-extensions-CentralAuth,6,13,10
rjbain/dgreat,5,0,1
google/santa,143,215,3093
okhosting/OKHOSTING.UDG,4,0,0
mikacousin/olc,2,0,0
skaes/logjam-tools,5,6,6
google/riscv-dv,51,93,250
MTG/sms-tools,164,553,1018
davidkpiano/xstate,158,413,10834
Azure/go-autorest,54,109,107
Cognifide/APM,53,13,43
mopidy/mopidy,219,626,6388
kmzbrnoI/hJOPpanel,1,0,2
google/badwolf,67,65,889
Skatteetaten/boober,13,3,17
AlexSZYDLO/Qt-ASN1,1,0,2
imolorhe/altair,33,102,2123
IDgis/geoportaal,8,0,1
MichaelRocks/libphonenumber-android,12,37,314
jcmoraisjr/haproxy-ingress,25,170,571
fracpete/python-weka-wrapper3,3,14,63
misken/hillmaker,2,0,2
xuxueli/xxl-job,877,5612,13089
gsuberland/ChemionHacking,4,2,9
pivotal-cf-experimental/datadog-config-oss,136,22,27
jpmml/jpmml-sklearn,19,86,371
omega-gg/MotionBox,4,2,38
xidian-rs/Ruisi,21,61,170
TermiT/Flycut,42,160,1419
NightlySide/nightlyside.github.io,1,0,0
bow-paris/bow-paris.github.io,11,6,12
manns/pyspread,30,64,331
egzosn/pay-java-parent,124,604,1446
ossimlabs/ossim-oms,13,3,2
enviriot/EnviriotSW,1,1,0
stitchfix/flotilla-os,57,8,146
arnovb-github/CmcLibNet,1,0,0
italia/developers.italia.it,26,49,115
bioconda/bioconda-utils,66,77,55
MicrochipTech/unicens-linux-daemon,4,9,4
samuelcolvin/pydantic,48,238,2599
Fantomas42/django-blog-zinnia,134,732,1955
YorickPeterse/oga,33,40,1139
BerserkerDotNet/Ether,2,3,0
idb-project/the-idb,3,8,10
rbns/the-idb,2,0,1
MagiaSN/honko-damagecalc,1,0,0
ToyAuthor/ToyBox,0,0,2
Jean-Romain/lidR,46,57,218
j1rie/IRMP_STM32,4,6,11
Digus/StardewValleyMods,1,11,3
ngld/knossos,12,14,23
Eugeny/terminus,244,573,13244
MjnMixael/knossos,1,0,0
dreamchess/dreamchess,10,13,37
zhengxiexie/blog,1,0,0
ministryofjustice/apvs-internal-web,14,1,3
ektrah/nsec,20,28,179
ioBroker/ioBroker.web,10,11,32
joindin/callingallpapers-cli,5,3,3
michaelrsweet/epm,5,22,12
ubermichael/wphp,1,0,0
jnunemaker/flipper,35,242,2137
hannesa2/panoramagl,12,35,98
sfu-dhil/wphp,1,8,0
helderman/htpataic,7,2,8
socializer/socializer,15,13,44
brain-tec/sale-workflow,8,8,0
SpoinkyNL/Artemis,27,38,291
acsone/sale-workflow,17,0,0
jacobtomlinson/opsdroid,1,0,1
yahoojapan/NGT,29,52,442
Dynatrace/superdump,30,49,327
dair-ai/dair-ai.github.io,5,5,21
summernote/summernote,329,1965,9329
emuse/qmidiarp,4,1,6
inwx/WHMCS,10,7,6
UCSBarchlab/PyRTL,25,36,100
codebar/planner,16,174,66
GoogleContainerTools/kpt,21,16,51
despo/planner,1,0,0
graham22/SkyeTracker,2,3,7
Esri/workflowmanager-viewer-js,30,25,21
3F/DllExport,46,59,402
katemonster33/CDJPScanMaster,12,4,12
horsicq/nfdx64dbg,11,23,94
tsavola/gate,5,5,71
Minres/SCViewer,6,1,3
hurwitzlab/elm-imicrobe-spa,12,2,9
FabioRosado/opsdroid,1,0,0
opsdroid/opsdroid,23,264,413
Smithay/smithay,30,30,330
jbaicoianu/janusweb,10,16,58
webmproject/sjpeg,8,3,34
Martchus/tageditor,15,15,163
matematikk-mooc/frontend,4,4,6
GetmeUK/ContentTools,134,393,3699
liushapku/zsh,1,0,0
makinacorpus/Leaflet.Spin,33,44,99
mozilla/normandy,26,50,42
montsuqi/monsiaj,9,2,5
menyouping/jw,4,4,20
brain-tec/server-tools,10,6,1
hawtio/hawtio,121,472,1133
CocoaPods/Xcodeproj,45,369,1650
SalesforceFoundation/Volunteers-for-Salesforce,49,92,66
floooh/fips,22,62,307
mohan2020/w2hsite,1,3,0
google/flogger,61,90,1176
open-synergy/opnsynid-hr,3,12,2
pydata/conf_site,12,11,11
Bergvca/bergvca.github.io,2,2,1
Diacamma2/syndic,5,7,9
michaelatmender/gui,1,0,0
DeforaOS/Browser,1,2,1
s3inlc/hashtopolis,55,112,658
manifoldco/grafton,24,2,11
Normation/rudder-tools,7,17,7
google/cloudprober,31,111,1067
Abjad/ide,3,0,4
mylxsw/wizard,25,135,828
jotego/jt51,7,5,30
QoboLtd/cakephp-translations,12,0,1
ianomad/ianomad.github.io,1,0,0
OpenModularTurretsTeam/OpenModularTurrets,14,26,39
fr3ts0n/AndrOBD,49,127,406
matterhorn-chat/matterhorn,16,45,660
AlexFalappa/nb-springboot,10,19,95
chrovis/cljam,9,6,67
bug400/pyilper,2,3,8
e154/smart-home-configurator,2,0,1
CenterForTheBuiltEnvironment/comfort_tool,12,20,50
CenterForOpenScience/ember-osf,10,34,14
clappr/clappr-ios,74,30,104
brianhonohan/sketchbook,1,0,0
volak/Aggregates.NET,31,45,210
DiligentGraphics/DiligentEngine,73,118,1055
Sylius/Core,9,9,9
SDraw/run-on-coal,7,4,42
buildkite/docs,14,111,12
TulevaEE/onboarding-service,7,6,17
SvenKortekaas/brandweeruitgeest.nl,1,0,1
CodeCrafter47/BungeeTabListPlus,8,49,66
ncannasse/castle,23,37,278
zhongxunking/configcenter,5,36,38
tsl0922/ttyd,99,380,2577
1001genomes/AraGWAS,5,5,9
Nebulis/blog,1,0,0
wcm-io-devops/conga,11,4,4
deepmind/bsuite,55,111,934
nkjm/bot-express,6,29,79
filipvanlaenen/sapor,1,1,1
bung87/vscode-rails,2,6,23
FH-Complete/FHC-AddOn-Bewerbung,14,0,2
bit-bots/imagetagger,20,37,133
c4software/bts-sio,2,2,5
AlexLevkovich/QPacman,1,0,1
zheng-wang/irontest,7,9,19
Brotcrunsher/BrotboxEngine,8,4,14
ebroecker/canmatrix,62,194,367
roxberry/roxberry,1,0,1
ConvertKit/ConvertKit-WordPress,24,4,3
Shopify/shipit-engine,239,95,1009
acorg/acmacs-map-draw,4,0,0
andersroos/rankedftw,4,5,41
timber/timber,123,442,4381
chadmv/cmt,26,29,114
wikimedia/mediawiki-extensions-CentralNotice,8,4,11
taoliu/MACS,54,201,390
RobotWebTools/rclnodejs,23,29,77
pierobot/mangapie,11,5,36
MajorMajor0/Robin,0,1,3
sdl/groupsharekit.net,10,17,11
spinnaker/spin,46,109,87
jorisvink/kore,163,310,3292
farseerfc/pelican-plugins,2,3,3
mendix/UnitTesting,16,7,1
watchdogpolska/feder,8,4,7
Tarsnap/tarsnap-gui,16,19,227
vscode-icons/vscode-icons,58,482,2307
tscheffert/dotfiles,0,2,3
JimiC/vscode-icons,2,0,0
wirecard/magento2-ee,14,17,6
sagiegurari/cargo-make,9,38,529
libgit2/rugged,72,264,1997
Workshell/pe,2,2,9
mtennekes/tmap,24,79,390
awesto/django-shop,142,778,2131
jenkinsci/kubernetes-plugin,76,886,1532
Kingcom/armips,28,47,188
rishigiridotcom/rishigiri.ml,2,0,1
brilliang/env_conf,1,1,5
hardbyte/python-can,51,216,402
biocommons/hgvs,18,53,115
trimox/angular-mdc-web,32,79,505
3-form/ceilings,6,7,0
vaadin/vaadin-grid,37,153,368
itpp-labs/website-addons,24,261,88
wirecard/paymentSDK-php,20,17,33
dotnet-presentations/aspnetcore-app-workshop,53,249,429
MPIB/Lagerregal,6,6,13
platypii/BASElineFlightComputer,3,3,18
Effective-Quadratures/Effective-Quadratures,9,41,45
carrolltonmanor/carrolltonmanor.github.io,1,0,0
emlai/delta,1,0,0
auth0/node-auth0,85,218,356
googlefonts/glyphsLib,29,33,72
EFForg/action-center-platform,35,51,201
Hub-of-all-Things/Rumpel,5,5,8
MultinetInteractive/EduAdmin-WordPress,7,7,1
savoirfairelinux/ring-client-macosx,9,4,14
sjdayday/simulated-motion,1,0,0
jikamens/send-later,1,13,16
DbUp/DbUp,84,379,1171
duetosymmetry/web-site,1,3,4
DarvinStudio/DarvinAdminBundle,3,1,1
szufang/szufang.github.io,0,0,0
meine-stadt-transparent/meine-stadt-transparent,5,5,19
akashic-games/akashic-engine,26,7,60
rncbc/samplv1,8,2,19
Klaital/vitasa-web,2,0,0
ozfortress/citadel,8,17,15
thezimmee/os-zimmee,0,0,0
Brightspace/d2l-my-courses-ui,27,5,1
raspberrypisig/raspberrypisig.github.io,2,1,0
MilanAryal/milanaryal.github.io,4,14,31
Netcentric/accesscontroltool,35,59,101
SnowmanTackler/SamSeifert.Utilities,3,0,1
opmuse/opmuse,2,0,5
twigphp/Twig,239,1103,6781
sebastiencaille/sky-lib,1,0,0
android/architecture-components-samples,793,5521,16469
owncloud/music,108,157,310
siteorigin/so-css,5,6,33
paulijar/music,1,0,1
mdn/interactive-examples,26,244,311
sudheerj/generator-jhipster-primeng,15,25,114
rncbc/drumkv1,7,4,17
fangsonghub/fangsonghub.github.io,1,0,0
TheEngineRoom-UniGe/OWLOOP,5,5,4
blackbbc/Tucao,32,192,944
accumulator/Quickddit,5,12,32
i-net-software/JWebAssembly,33,21,282
firebase/firebase-admin-python,92,132,431
wikimedia/mediawiki-extensions-MultimediaViewer,8,8,19
mad-lab/transit,6,8,7
internetarchive/bookreader,47,212,486
varqox/simlib,1,2,1
retorquere/zotero-better-bibtex,48,125,1364
telemark/minelev-web,6,1,0
EvictionLab/eviction-maps,3,3,16
toolkit-for-ynab/toolkit-for-ynab,52,180,842
android/wear-os-samples,27,95,96
Nike-Inc/cerberus-lifecycle-cli,12,5,15
authentic-theme/authentic-theme,74,156,820
takuya-takeuchi/Demo,2,27,8
jskeet/DemoCode,46,166,316
windup/windup-rulesets,9,42,9
mackerelio/mackerel-agent-plugins,39,133,213
lukecampbell/compliance-checker,1,0,0
NIVeriStandAdd-Ons/Diagnostics-Custom-Device,13,1,4
gombaszog/gombaszog.sk,4,3,0
Cryru/Emotion,7,5,19
igm-team/atav,0,1,0
ocefpaf/compliance-checker,1,0,0
hmemcpy/milewski-ctfp-pdf,247,355,7123
rauc/rauc,33,92,258
chocolatey/package-validator,13,25,26
gep13/package-validator,1,0,0
wmayner/pyphi,34,59,210
FPGAwars/icestudio,82,121,718
magmaOffenburg/RoboViz,7,17,30
sudo-suhas/elastic-builder,14,25,297
shonumi/shonumi.github.io,6,2,5
kaltura/playkit-android,33,23,22
texastribune/scuole,13,0,1
Rvn0xsy/rvn0xsy.github.io,0,5,7
libcheck/check,35,127,589
nextstrain/auspice,19,70,160
bazelbuild/rules_go,61,327,688
pspete/psPAS,32,36,95
jrialland/parserjunior,1,1,0
data-integrations/google-cloud,6,29,13
AlbanAndrieu/nabla-servers-bower-sample,1,1,1
JustinWingChungHui/okKindred,5,6,5
williamngan/pts,58,123,3760
jlongster/blog,31,85,1232
wwwouaiebe/leaflet.TravelNotes,1,5,11
MyCoRe-Org/MyVidCoRe,8,0,3
zcobell/MetOceanViewer,7,6,11
symfony/http-foundation,39,229,7297
ioos/compliance-checker,25,42,47
